Var=VWA1_cluster9	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=ATAD3C_cluster9	Wt=-1	CondVar=7.94128e-10	CondBias=2.47785e-09	CondWt=MERTK_cluster9=1.03389,E2F5_cluster9=-1.05911,PHF13_cluster9=-1.06927,CRAMP1L_cluster9=1.38987,ZNF34_cluster9=1.29149
Var=ATAD3B_cluster9	Wt=-1	CondVar=8.3584e-10	CondBias=-9.54685e-11	CondWt=FBXL19_cluster9=-0.778166,NFATC2_cluster9=-0.783646,ERCC6_cluster9=-0.606612,ZNF433_cluster9=0.628396,ZNF283_cluster9=-0.679608,ZNF550_cluster9=6.96007e-09,ENPP2_cluster9=0.673761,TULP3_cluster9=0.899522,ZNF397_cluster9=1.04743,TOB1_cluster9=0.890012,ZNF446_cluster9=0.85958,PDP2_cluster9=0.4426,ZNF251_cluster9=0.909232
Var=ATAD3A_cluster9	Wt=-1	CondVar=0.0145085	CondBias=-0.104055	CondWt=GABPA_cluster9=-0.0204175,ATF6_cluster9=-0.0792573,SBF2_cluster9=-0.116397,TCEB3_cluster9=-0.103203,ELK1_cluster9=0.103856,MNDA_cluster9=-0.151293,CIC_cluster9=0.148204,ANKZF1_cluster9=0.107832,MAD2L1_cluster9=-0.146789,BTBD11_cluster9=-0.172755,HDAC10_cluster9=0.113545,HDAC11_cluster9=0.330922,PAPOLG_cluster9=-0.254475,ITPK1_cluster9=0.314261,PLK1_cluster9=0.287976,SMARCA4_cluster9=0.146382,SP2_cluster9=-0.18697,SP3_cluster9=-0.219822,ARSG_cluster9=0.372269,TCF3_cluster9=0.0951609,ETV5_cluster9=0.0166018,FBXL19_cluster9=0.748081,ELF1_cluster9=0.191961,ETV2_cluster9=-0.0436234,POLR1A_cluster9=0.228355,MAST4_cluster9=0.475212,GTF2F1_cluster9=0.113263,KHDRBS2_cluster9=0.44112,ZNF592_cluster9=0.574295,HOXA6_cluster9=-0.171885,MAP2K7_cluster9=0.223568,DCP1A_cluster9=0.281204,ZNF92_cluster9=0.116592,ZNF281_cluster9=0.370127,CTDSP2_cluster9=-0.229887,IKZF2_cluster9=0.435825,TCF4_cluster9=0.151485,TAF6_cluster9=0.0924679,RFX3_cluster9=0.25341,NUDT5_cluster9=-0.0630578,PWP1_cluster9=-0.0491496,APEX1_cluster9=-0.597301,YBX1_cluster9=0.117897,PTPN4_cluster9=0.12371,JMY_cluster9=-0.161046,STRN4_cluster9=0.0646165
Var=SSU72_cluster9	Wt=-1	CondVar=0.274001	CondBias=0.511182	CondWt=HDAC10_cluster9=-0.290245,HPRT1_cluster9=0.275033,ZNF254_cluster9=-0.406428,ATF3_cluster9=-0.236065,KLF4_cluster9=-0.181364,PGAM5_cluster9=0.319761,KLF6_cluster9=0.190185,CREB5_cluster9=0.287253,CNOT6_cluster9=1.3653
Var=AL645728.1_cluster9	Wt=-1	CondVar=5.07243e-10	CondBias=1.23635e-10	CondWt=CDC14A_cluster9=-1.05994,ERCC6_cluster9=0.72939,ZNF589_cluster9=0.613657,CDK18_cluster9=0.946121,TOB1_cluster9=1.07015
Var=C1orf233_cluster9	Wt=-1	CondVar=9.1448e-10	CondBias=-2.01221e-09	CondWt=ZNF550_cluster9=-0.832536,AFF4_cluster9=7.58775e-09,TRPC4AP_cluster9=1.9518e-09,ZNF585B_cluster9=-0.676778,MNDA_cluster9=7.61525e-09,ZSWIM4_cluster9=1.19955,FANK1_cluster9=0.439476,DLGAP5_cluster9=2.11834e-08,ETV3_cluster9=1.28871e-08,TULP3_cluster9=0.786879,TESK2_cluster9=0.707884,ZNF433_cluster9=0.549704,NFATC2_cluster9=-0.685514,SIGLEC10_cluster9=0.702053,ZNF708_cluster9=-0.978818,ZFPM1_cluster9=-0.650439,PLK2_cluster9=0.690216,DUSP22_cluster9=-5.79594e-09,L3MBTL4_cluster9=0.736069,ZSCAN1_cluster9=0.759593
Var=RP11-345P4.9_cluster9	Wt=-1	CondVar=4.64675e-10	CondBias=-5.66772e-09	CondWt=POLR1A_cluster9=0.362804,ZFP41_cluster9=0.531585,NLK_cluster9=-0.916255,MTF1_cluster9=3.85264e-09,CRTC1_cluster9=0.502259,PAN3_cluster9=1.05639e-07,ZNF513_cluster9=0.563883,ZFPM1_cluster9=-0.303025,SPRED1_cluster9=-0.890892,ZNF45_cluster9=-0.292704,ZNF467_cluster9=-6.05292e-09,ZNF578_cluster9=0.249306,FBXO15_cluster9=0.456033,ZNF410_cluster9=0.240935,POLR1B_cluster9=0.668173,ARNTL_cluster9=0.277319
Var=MIB2_cluster9	Wt=-1	CondVar=9.89673e-10	CondBias=6.48594e-08	CondWt=ZNF559_cluster9=-0.786121,SPRED1_cluster9=0.535792,KLF8_cluster9=-0.500103,GAB1_cluster9=-0.565383,EEPD1_cluster9=-0.986025,CSRNP2_cluster9=-0.576699,ZNF589_cluster9=0.375269,MYC_cluster9=-6.64093e-08,ZNF215_cluster9=0.444149,HMGA2_cluster9=1.12644,ZNF410_cluster9=-0.614765,ZEB1_cluster9=0.758197,ZNF275_cluster9=-2.40316e-07,PPM1N_cluster9=0.618827,CDK20_cluster9=0.51916,NOTCH4_cluster9=-0.114187,ZNF514_cluster9=0.762795,TESK2_cluster9=0.728739,BACH1_cluster9=0.804527,ZNF578_cluster9=-0.224904,PDP2_cluster9=-0.563682,ERCC8_cluster9=0.869738
Var=MMP23B_cluster9	Wt=-1	CondVar=3.46091e-10	CondBias=6.69849e-11	CondWt=FANK1_cluster9=1.11024,PPP2R3A_cluster9=1.10828
