Var=ATAD3A_cluster8	Wt=-1	CondVar=0.0880105	CondBias=0.0070255	CondWt=ABL2_cluster8=0.182501,ZNF34_cluster8=0.320749,ZNF570_cluster8=0.502823,FOXK2_cluster8=0.448607,ZNF334_cluster8=0.138641,SP3_cluster8=-0.038172,NCOA3_cluster8=0.278257,PYGO2_cluster8=-0.172784,ZNF124_cluster8=0.258657,IKZF2_cluster8=0.563965,IRF2BP1_cluster8=0.381515,TTBK2_cluster8=0.138301,ETV5_cluster8=-0.0165587,DNAJC6_cluster8=0.62752
Var=SSU72_cluster8	Wt=-1	CondVar=0.369961	CondBias=0.409861	CondWt=JUNB_cluster8=0.139024,RBBP4_cluster8=0.187849
Var=AL645728.1_cluster8	Wt=-1	CondVar=0.00753611	CondBias=-0.0368431	CondWt=MEF2D_cluster8=0.0786513,ZNF211_cluster8=1.0162,ZNF251_cluster8=-0.139089,KLF1_cluster8=-0.25271,DCLK2_cluster8=-0.0914259,HES1_cluster8=0.173228,HOXB4_cluster8=0.0405556,PPP2R2D_cluster8=0.0690829,ZNF695_cluster8=-0.0549135,CD247_cluster8=-0.636307,SP2_cluster8=-0.0394963,DDX54_cluster8=0.0451745,ZNF551_cluster8=-0.0794367,INPP5A_cluster8=0.74767,ZNF420_cluster8=0.0360632,PCP2_cluster8=1.11598,MAFK_cluster8=0.188998,PGAM5_cluster8=-0.04605,HMGN4_cluster8=0.0932396,ZNF226_cluster8=0.0330181,LRP5_cluster8=0.063097,CREBL2_cluster8=0.0616303,TMEM55A_cluster8=-0.0350585,FAM109B_cluster8=0.0530739,BCL6_cluster8=-0.196323,MAP3K5_cluster8=0.0652388,PLK3_cluster8=0.0406913,ZNF2_cluster8=0.874939,PER2_cluster8=-1.08745,ZSCAN1_cluster8=-0.0653824,SREBF2_cluster8=0.0263044,DEDD_cluster8=0.0410931,NCOA5_cluster8=0.318114,KLF7_cluster8=-0.00806765
Var=C1orf233_cluster8	Wt=-1	CondVar=0.013339	CondBias=-0.0158336	CondWt=PPME1_cluster8=-0.086407,WWP1_cluster8=0.0847411,HKR1_cluster8=0.130502,ZNF189_cluster8=0.185906,PTPRD_cluster8=0.0606265,DYRK3_cluster8=0.200268,PIK3R2_cluster8=0.478348,PPARGC1B_cluster8=0.0621248,NEK11_cluster8=0.110921,ZBTB6_cluster8=-0.417401,SGOL2_cluster8=0.0620582,TGFBR1_cluster8=-0.0765627
Var=RP11-345P4.9_cluster8	Wt=-1	CondVar=0.138572	CondBias=-0.00430115	CondWt=ARNTL_cluster8=0.123779,MITF_cluster8=0.225747,POLR1A_cluster8=0.211926,PPP1R37_cluster8=0.322108,SIN3A_cluster8=0.170458,TFE3_cluster8=0.336624,HDAC4_cluster8=0.450199,BRSK1_cluster8=0.439784,SRPK2_cluster8=0.140845,HIST1H2BD_cluster8=0.275573
Var=MIB2_cluster8	Wt=-1	CondVar=0.207729	CondBias=0.738335	CondWt=TSHZ1_cluster8=0.329738,MITF_cluster8=0.434009,SERTAD3_cluster8=0.297687,LYL1_cluster8=-0.138212,PTMA_cluster8=-0.362849,SP1_cluster8=0.602036,SCML1_cluster8=0.275487,ATF7_cluster8=0.281753,TCF3_cluster8=0.256069
Var=MMP23B_cluster8	Wt=-1	CondVar=0.0116779	CondBias=0.00340565	CondWt=NOM1_cluster8=-0.0638009,TRERF1_cluster8=0.149447,SIRT3_cluster8=0.0653093,PTPN9_cluster8=-0.0733851,TRIM5_cluster8=-0.0629878,MAST2_cluster8=-0.285549,NFX1_cluster8=0.0465582,TULP4_cluster8=0.416778,ZNF611_cluster8=0.531212,HIRA_cluster8=0.149351,ZNF30_cluster8=0.421896,HINFP_cluster8=-0.0616175,ZNF519_cluster8=-0.0534207,CTBP2_cluster8=0.0477921,TAF13_cluster8=-0.150367,NRL_cluster8=-0.146336,NFXL1_cluster8=0.145274,MYBL2_cluster8=-0.0566675,ZNF670_cluster8=0.0586074,ZNF595_cluster8=-0.052133,HDHD1_cluster8=-0.417366
Var=CDK11B_cluster8	Wt=-1	CondVar=0.159945	CondBias=-0.0192865	CondWt=ZNF566_cluster8=0.283914,SMAD7_cluster8=0.237686,ZNF208_cluster8=0.65521,KSR1_cluster8=-0.209207,GABPB1_cluster8=0.0861082,KLF8_cluster8=0.313117,SRC_cluster8=0.53981,NEK8_cluster8=0.363459,PHF10_cluster8=0.249168,PGBD1_cluster8=0.275801,HDAC8_cluster8=0.226141
Var=SLC35E2B_cluster8	Wt=-1	CondVar=0.111456	CondBias=-0.0187152	CondWt=UTF1_cluster8=-0.336418,ARSB_cluster8=0.65616,EPM2A_cluster8=-0.424898,ZNF582_cluster8=0.38159,CENPB_cluster8=0.316012,PHLPP2_cluster8=0.568268,PER2_cluster8=0.11248,ZNF45_cluster8=0.502179,TAF1A_cluster8=-0.416692,ZBTB7B_cluster8=0.673691,TAOK1_cluster8=0.214886,ZNF154_cluster8=-0.211864,ZDHHC16_cluster8=0.191709,CSRNP2_cluster8=-0.422994,TRPC4AP_cluster8=0.148428,ZNF211_cluster8=0.556914,BCOR_cluster8=0.27341,PARD3_cluster8=0.395251,ZNF486_cluster8=0.446253
Var=CDK11A_cluster8	Wt=-1	CondVar=0.22658	CondBias=0.0874522	CondWt=ZNF675_cluster8=0.294237,MTMR10_cluster8=0.523015,NEK8_cluster8=0.347522,STRN4_cluster8=0.309091,SGOL1_cluster8=0.296852,ZNF142_cluster8=0.276031
Var=SLC35E2_cluster8	Wt=-1	CondVar=0.00604484	CondBias=0.0129942	CondWt=MTOR_cluster8=-0.0952679,MYNN_cluster8=0.0743506,ZNF649_cluster8=-0.123987,PKN3_cluster8=-0.0389433,ZNF165_cluster8=-0.0437205,PPP2R3A_cluster8=0.213261,ARAF_cluster8=0.0322959,ZNF714_cluster8=-0.0533026,IKZF2_cluster8=-0.651363,CABIN1_cluster8=-0.0455878,STAT1_cluster8=-0.0375363,PTPN23_cluster8=0.746209,IRF5_cluster8=-0.0681862,TOB1_cluster8=-0.0532969,RBM15B_cluster8=0.042481,ZFPM1_cluster8=-0.618308,PPM1H_cluster8=-0.0530291
Var=NADK_cluster8	Wt=-1	CondVar=0.129401	CondBias=-0.0386835	CondWt=ZFYVE1_cluster8=0.732676,SRC_cluster8=0.592822,SIRPA_cluster8=0.310735,ZNF358_cluster8=0.213543,PPP1R37_cluster8=0.335807,ZNF433_cluster8=0.302672,NFIC_cluster8=0.122716,CRTC1_cluster8=0.301604,APBB1_cluster8=0.230113,NPM2_cluster8=0.167407,FOXM1_cluster8=0.272008,ZHX2_cluster8=0.831532,ICAM1_cluster8=0.896175,PBX2_cluster8=-1.28629,PER3_cluster8=0.394453,FGR_cluster8=0.70046
Var=GNB1_cluster8	Wt=-1	CondVar=0.305848	CondBias=0.19538	CondWt=JARID2_cluster8=0.255494,CTCF_cluster8=0.159829,SMAD1_cluster8=0.123562
Var=PRKCZ_cluster8	Wt=-1	CondVar=0.0849631	CondBias=-0.030422	CondWt=ULK2_cluster8=0.286709,AR_cluster8=0.227838,PRDM4_cluster8=0.26669,PPP1R3F_cluster8=0.381482,POLR3E_cluster8=0.148424,ARNTL_cluster8=0.145622,NEK2_cluster8=0.250966,BRPF1_cluster8=0.338337,PHKG2_cluster8=0.108987
Var=C1orf86_cluster8	Wt=-1	CondVar=0.353242	CondBias=0.444695	CondWt=STAT5B_cluster8=0.116371,AKT2_cluster8=0.282745
Var=AL590822.1_cluster8	Wt=-1	CondVar=3.16116e-10	CondBias=5.8192e-11	CondWt=HIVEP2_cluster8=1.05578,INPP5A_cluster8=1.02299
Var=SKI_cluster8	Wt=-1	CondVar=0.351954	CondBias=0.0817733	CondWt=ZNF333_cluster8=0.331827,BCL3_cluster8=0.242201,SPIB_cluster8=0.248465,IKZF1_cluster8=0.229242,NFATC1_cluster8=0.358478
