regulator	target	weight	cell
PLEK	SCP2	0.8	cluster7
PLEK	SDPR	1	cluster7
BIN1	SELL	1	cluster7
PLEK	SELP	1	cluster7
GATA2	SLC40A1	1	cluster7
PLEK	SLC50A1	1	cluster7
XRCC5	SMC6	1	cluster7
PLEK	ST6GAL2	1	cluster7
ZNF589	TAF13	0.9	cluster7
PLEK	TAGLN2	1	cluster7
PTMA	TAGLN2	1	cluster7
ZBTB37	TMEM125	0.9	cluster7
ZBTB40	TMEM125	0.9	cluster7
ZNF589	TMEM125	0.9	cluster7
PLEK	TMEM163	1	cluster7
PLEK	TMSB10	1	cluster7
PTMA	TMSB10	0.9	cluster7
PLEK	TRIB2	1	cluster7
E2F2	TRIM58	0.8	cluster7
BIN1	TSPAN2	0.8	cluster7
ZNF589	TSPAN2	0.8	cluster7
PLEK	UBE2F	0.9	cluster7
MIXL1	XXcos-LUCA11.4	0.8	cluster7
ENO1	YBX1	1	cluster7
PTMA	YBX1	1	cluster7
MIXL1	ZBTB37	0.9	cluster7
PLEK	ZEB2	1	cluster7
E2F2	ZNF362	0.9	cluster7
