Var=ATAD3B_cluster9	Wt=-1	CondVar=9.37767e-10	CondBias=1.08988e-11	CondWt=ENPP2_cluster9=0.673761,ZNF251_cluster9=0.909232,ZNF446_cluster9=0.85958,ZNF142_cluster9=1.00566,ZFP91_cluster9=3.64946e-09,HOXB3_cluster9=-0.845845,ZFP41_cluster9=0.270146,TOB1_cluster9=0.890012,KSR1_cluster9=-0.749393,ZNF397_cluster9=1.04743,ZNF300_cluster9=-0.947309,HIST1H2BJ_cluster9=-0.706308,DNAJC6_cluster9=0.843322
Var=ATAD3A_cluster9	Wt=-1	CondVar=0.0293317	CondBias=0.101685	CondWt=E2F3_cluster9=-0.208326,NFYA_cluster9=-0.212881,CIC_cluster9=0.6861,ZNF341_cluster9=-0.424071,SMARCA1_cluster9=0.244165,DRG1_cluster9=0.205608,ZNF570_cluster9=0.239548,ECD_cluster9=0.15561,ELF4_cluster9=0.435508,ZNF586_cluster9=0.268767,ZNF397_cluster9=0.396208,ZBTB2_cluster9=0.227513,SP3_cluster9=-0.153901,IKZF2_cluster9=0.57682,PPP1R10_cluster9=-0.0978875,CBX4_cluster9=0.266198,CRAMP1L_cluster9=0.444561,PYGO2_cluster9=0.394921,PAPOLA_cluster9=-0.058246,ANKS1A_cluster9=0.147511,MAST4_cluster9=0.628143,SRF_cluster9=0.146073,ZNF426_cluster9=0.340545,RUVBL1_cluster9=0.0843472,PHF2_cluster9=-0.209387,ETV5_cluster9=-0.090667,TCF12_cluster9=-0.0601623,PPM1L_cluster9=-0.291838,TAF4_cluster9=-0.174336,TTBK2_cluster9=0.187116,NONO_cluster9=0.116852,E4F1_cluster9=-0.243045,CRTC1_cluster9=0.378929,GMEB1_cluster9=-0.163369,PARN_cluster9=-0.382148,YBX1_cluster9=-0.111893,MTOR_cluster9=-0.448947,GABPA_cluster9=-0.0709011,HIST1H2BJ_cluster9=0.92115,TCF4_cluster9=0.15015
Var=SSU72_cluster9	Wt=-1	CondVar=0.267696	CondBias=0.640863	CondWt=JUNB_cluster9=0.181449,ZBTB26_cluster9=0.320485,CREB5_cluster9=0.196958,ATF3_cluster9=-0.196988,KLF4_cluster9=-0.295372,MAPK3_cluster9=-0.389269,DHX37_cluster9=0.450046,BCL2_cluster9=-0.297425,KLF1_cluster9=0.709589
Var=AL645728.1_cluster9	Wt=-1	CondVar=5.54344e-10	CondBias=8.45116e-11	CondWt=ZNF449_cluster9=0.868853,PTPN22_cluster9=1.30448,DAB2_cluster9=-1.4446
Var=C1orf233_cluster9	Wt=-1	CondVar=1.06231e-09	CondBias=-2.6809e-11	CondWt=ZNF155_cluster9=0.305196,ZNF14_cluster9=1.26659,LATS1_cluster9=-1.31066,TAF5_cluster9=1.12155,ZSCAN1_cluster9=0.759593,PPP1R12C_cluster9=4.77973e-09,DPF1_cluster9=1.12956,ZSWIM4_cluster9=1.19955,EIF2AK3_cluster9=-1.21998,PPP1R9A_cluster9=-0.412131
Var=RP11-345P4.9_cluster9	Wt=-1	CondVar=4.92473e-10	CondBias=2.5908e-11	CondWt=PHLPP2_cluster9=-0.506254,SNIP1_cluster9=0.662744,ZFPM1_cluster9=-0.303025,SPRED1_cluster9=-0.296963,ZNF382_cluster9=0.298255,POLR1A_cluster9=0.362804,ARNTL_cluster9=0.277319,DLG3_cluster9=0.261668,ZNF283_cluster9=0.276966,MINPP1_cluster9=2.83944e-09,ICK_cluster9=0.732074,HOXA4_cluster9=0.578927,TSKS_cluster9=0.688922,CNOT6_cluster9=-0.391312,DPF1_cluster9=-1.05247
Var=MIB2_cluster9	Wt=-1	CondVar=9.01505e-10	CondBias=5.3441e-10	CondWt=ZFPM1_cluster9=-0.933322,ZNF275_cluster9=0.574633,ERCC8_cluster9=0.869738,MYC_cluster9=-4.51462e-10,ZBTB1_cluster9=1.60577e-09,STYX_cluster9=-2.94435e-09,ZNF343_cluster9=-0.191689,INPP5E_cluster9=0.600308,DUSP3_cluster9=2.58083e-09,ZNF324_cluster9=-5.53721e-09,ZFYVE1_cluster9=-3.79716e-09,GTF2E1_cluster9=-0.453111,DAB2_cluster9=0.883411,MTA3_cluster9=0.485988,HMGA2_cluster9=0.329927,CDC14A_cluster9=-0.648179,ST6GAL1_cluster9=-0.747602,OCLN_cluster9=-1.3294e-08,NEK9_cluster9=0.60038,PHF23_cluster9=2.44148e-08,ANGPT2_cluster9=0.682818,ZNF582_cluster9=7.28009e-07,ZNF41_cluster9=0.459329,ZNF649_cluster9=0.614927,ZNF554_cluster9=0.585232,PPP1R9A_cluster9=0.836329,TBL1X_cluster9=-0.59071,ZNF215_cluster9=7.03654e-09,PBX4_cluster9=-9.42764e-09,ZNF155_cluster9=-0.619329,TULP4_cluster9=0.400148,DUSP19_cluster9=1.01317e-08
Var=MMP23B_cluster9	Wt=-1	CondVar=1.12542e-09	CondBias=2.33184e-10	CondWt=PASK_cluster9=1.31511,ID3_cluster9=2.28703,ZBTB22_cluster9=-1.43731,PPP2R3A_cluster9=1.10828
Var=CDK11B_cluster9	Wt=-1	CondVar=1.25133e-09	CondBias=3.62971e-09	CondWt=E2F5_cluster9=2.04914e-10,ERCC6_cluster9=-0.37123,SH2D4A_cluster9=2.65264e-06,MED1_cluster9=4.39693e-08,PPFIA3_cluster9=0.297894,FGR_cluster9=0.686183,CYP2R1_cluster9=-1.25,MTA3_cluster9=0.167538,PDPK1_cluster9=0.981833,MAST2_cluster9=-0.689956,ZFPM1_cluster9=0.64351,EPHB4_cluster9=-0.231794,ATM_cluster9=0.985332,ZNF433_cluster9=-0.543844,CDC14A_cluster9=1.30239,TSC22D2_cluster9=0.616569,PBX1_cluster9=1.45396,TOB1_cluster9=-0.544661,MNT_cluster9=0.803513,ZHX3_cluster9=-0.572702,ENPP5_cluster9=0.571637,BCOR_cluster9=-2.22005e-08,RFX3_cluster9=3.7124e-09,MTA2_cluster9=-0.506398
Var=SLC35E2B_cluster9	Wt=-1	CondVar=9.91485e-10	CondBias=-1.56556e-10	CondWt=MYLK_cluster9=-0.518498,SMURF2_cluster9=0.883811,PLAG1_cluster9=-0.466046,ZNF234_cluster9=-0.780763,LAT_cluster9=-1.15021,ZNF232_cluster9=3.9846e-10,PPM1L_cluster9=0.78938,BTRC_cluster9=-0.823661,ZNF382_cluster9=-0.354114,NAB2_cluster9=7.98947e-09,PBX1_cluster9=-1.48631,ZBTB33_cluster9=0.758209,ZNF433_cluster9=0.608116,DUSP19_cluster9=0.0568898,ZNF319_cluster9=0.696586,ZNF84_cluster9=-0.598147,PER2_cluster9=0.476577,TBX6_cluster9=0.151323,FAM109A_cluster9=-0.0592763,RXRA_cluster9=0.185995
