Var=ATAD3B_cluster8	Wt=-1	CondVar=0.0212379	CondBias=-0.0370392	CondWt=ZNF195_cluster8=0.0769154,ZDHHC7_cluster8=0.0826568,CDK13_cluster8=0.136299,ZNF354B_cluster8=0.0839942,PPP1R3F_cluster8=0.107261,ZNF570_cluster8=0.643683,PHF23_cluster8=-0.0810175,ZNF713_cluster8=0.297899,E2F2_cluster8=-0.116294,HDAC4_cluster8=-0.206406,ZNF583_cluster8=0.39992,ZNF641_cluster8=-0.258839,SUV39H1_cluster8=-0.484023,CDK18_cluster8=-0.420391,DUSP19_cluster8=0.204829,THY1_cluster8=0.0709938,ZNF670_cluster8=-0.0984095,TFE3_cluster8=0.660823,HKR1_cluster8=0.598203,MERTK_cluster8=-0.0798539,TSC22D4_cluster8=0.0643501,BRIP1_cluster8=0.175018,FUT4_cluster8=-0.140046,ZNF410_cluster8=0.450239
Var=ATAD3A_cluster8	Wt=-1	CondVar=0.153073	CondBias=0.0862916	CondWt=SSH1_cluster8=0.332083,TAF4B_cluster8=0.258518,KLF16_cluster8=0.207626,CCNF_cluster8=0.732137,ZNF570_cluster8=0.477218,SP3_cluster8=-0.0691267,ZNF34_cluster8=0.250605
Var=SSU72_cluster8	Wt=-1	CondVar=0.39109	CondBias=0.563217	CondWt=KLF11_cluster8=0.162273
Var=AL645728.1_cluster8	Wt=-1	CondVar=0.00985383	CondBias=-0.0374099	CondWt=GABPA_cluster8=0.0638372,KLF16_cluster8=0.0767657,HES1_cluster8=0.0821178,RFX3_cluster8=-0.0643417,STK11_cluster8=0.126723,NCOA5_cluster8=0.16321,ZBTB10_cluster8=-0.0721993,PCP2_cluster8=1.20028,ZNF549_cluster8=0.211049,ANKRD52_cluster8=0.112393,ZNF10_cluster8=0.0459215,MEF2D_cluster8=0.0969978,FBP1_cluster8=-0.119001,ZNF449_cluster8=0.0734844,GTF2E1_cluster8=0.0838247,CTDSP2_cluster8=-0.043028,JUN_cluster8=0.020202,PHLPP1_cluster8=0.159464,MAFK_cluster8=0.0595895
Var=C1orf233_cluster8	Wt=-1	CondVar=4.38418e-10	CondBias=1.78389e-10	CondWt=PRDM4_cluster8=-1.0925,USF1_cluster8=0.888645,ZNF641_cluster8=-1.17317e-08,PIK3R2_cluster8=0.933367,ZNF713_cluster8=0.72785
Var=RP11-345P4.9_cluster8	Wt=-1	CondVar=0.0457251	CondBias=-0.0207591	CondWt=OXSR1_cluster8=0.119806,ZNF382_cluster8=-0.397161,LZTR1_cluster8=0.358563,ZNF180_cluster8=0.328979,ZNF501_cluster8=0.304016,TNS1_cluster8=0.174847,ASB6_cluster8=0.170622,POLR1A_cluster8=0.195927,ZNF416_cluster8=-0.442656,HDAC11_cluster8=-0.65504,KLF16_cluster8=0.161896,GATA3_cluster8=-0.0669122,PPM1M_cluster8=0.193058,PPP6C_cluster8=-0.109372,SETD2_cluster8=0.089893,PIK3R2_cluster8=0.547442,PPP1R37_cluster8=0.651424,ZNF7_cluster8=0.181721,ZSCAN2_cluster8=-0.0974393,FCGR2A_cluster8=0.80085,ZNF74_cluster8=-0.723689,ZNF285_cluster8=-0.546467,SGPP1_cluster8=-0.220674,MITF_cluster8=0.609401,DOT1L_cluster8=-0.0135286,MOK_cluster8=0.365365,HDAC4_cluster8=0.592361,TESK1_cluster8=0.536261,NDRG1_cluster8=0.870073,ZNF563_cluster8=0.534282
Var=MIB2_cluster8	Wt=-1	CondVar=0.208135	CondBias=0.0461053	CondWt=PTPDC1_cluster8=0.279592,SP1_cluster8=0.295096,SERTAD3_cluster8=0.408859,MAST3_cluster8=0.469805,POLR1B_cluster8=0.481205,PKN3_cluster8=0.23437,ZNF25_cluster8=0.268762,PLD3_cluster8=0.182121,TESK1_cluster8=0.526661
Var=MMP23B_cluster8	Wt=-1	CondVar=0.0222519	CondBias=-0.0297833	CondWt=RECQL4_cluster8=0.147643,ZNF30_cluster8=0.869061,ZNF442_cluster8=-0.341692,NFXL1_cluster8=0.119206,ZNF611_cluster8=0.122926,MYBBP1A_cluster8=0.0965794,ZNF595_cluster8=-0.0480302,ZNF670_cluster8=0.119423,SRCAP_cluster8=0.106465,PPP5C_cluster8=0.0698328,SUFU_cluster8=-0.172653,GEMIN4_cluster8=0.0935912
Var=CDK11B_cluster8	Wt=-1	CondVar=0.20501	CondBias=0.0625478	CondWt=RAD51_cluster8=0.218365,ZNF208_cluster8=0.609921,SRC_cluster8=0.552173,NEK8_cluster8=0.361622,ZNF566_cluster8=0.24398
Var=SLC35E2B_cluster8	Wt=-1	CondVar=0.186263	CondBias=0.0117311	CondWt=NKX2-3_cluster8=0.280005,ZNF343_cluster8=0.60533,ZDHHC15_cluster8=0.153025,BCOR_cluster8=0.254375,ZNF45_cluster8=0.469764,ZBTB7B_cluster8=0.322897,TAF1_cluster8=0.22138,HECTD4_cluster8=0.19353
