Var=MIB2_cluster8	Wt=-1	CondVar=0.212251	CondBias=0.108648	CondWt=SP1_cluster8=0.307951,PTPDC1_cluster8=0.309324,LYL1_cluster8=-0.129532,PLD3_cluster8=0.168941,SERTAD3_cluster8=0.406581,MITF_cluster8=0.426264,MYC_cluster8=0.220422
Var=MMP23B_cluster8	Wt=-1	CondVar=0.0241352	CondBias=-0.0300848	CondWt=ZNF71_cluster8=0.137755,ZNF30_cluster8=0.173051,MTMR12_cluster8=0.110575,TULP4_cluster8=0.277221,ZNF195_cluster8=-0.0892237,ZNF611_cluster8=0.262682,ZNF670_cluster8=0.101349,MYBBP1A_cluster8=0.144674,SIRT3_cluster8=0.107695,ZFYVE1_cluster8=-0.196188,NFXL1_cluster8=0.133543,MYBL2_cluster8=-0.0728043,PPP1R12B_cluster8=0.165949,CDC16_cluster8=0.079994
Var=CDK11B_cluster8	Wt=-1	CondVar=0.0857365	CondBias=-0.0552941	CondWt=ZNF2_cluster8=0.574477,PIR_cluster8=0.111367,SRC_cluster8=0.585415,KLF8_cluster8=0.178004,PRKAA1_cluster8=0.112261,ZNF582_cluster8=0.224018,INPP4A_cluster8=0.2362,CDK20_cluster8=0.628276,ZNF343_cluster8=0.562316,PPM1L_cluster8=0.725313,MLXIP_cluster8=0.130939,ANKRD52_cluster8=-0.373248,ZBTB34_cluster8=0.795464,UTF1_cluster8=0.335125,KLF7_cluster8=0.0159778,KLF5_cluster8=0.0779752,NEK8_cluster8=0.36723,TRPS1_cluster8=0.0535905,FKBP1B_cluster8=0.720435,NFE2L1_cluster8=0.194242
Var=SLC35E2B_cluster8	Wt=-1	CondVar=0.142889	CondBias=0.027284	CondWt=CITED4_cluster8=-0.77566,ZNF486_cluster8=0.430546,ZNF45_cluster8=0.332441,ZNF500_cluster8=0.245667,TBP_cluster8=0.181845,EAF1_cluster8=-0.683208,TNS1_cluster8=0.270926,HIST1H2BG_cluster8=0.458566,ZNF343_cluster8=0.600375,PPIP5K1_cluster8=0.752619,RCAN1_cluster8=0.222087,NKX2-3_cluster8=0.576085
Var=CDK11A_cluster8	Wt=-1	CondVar=0.225765	CondBias=0.0684962	CondWt=MCM2_cluster8=0.142968,NCOR2_cluster8=0.255703,TCF12_cluster8=0.272426,HOXB3_cluster8=0.156094
Var=SLC35E2_cluster8	Wt=-1	CondVar=0.00377776	CondBias=-0.0126852	CondWt=TAF1A_cluster8=0.0506814,CBFA2T2_cluster8=0.0492573,UPF1_cluster8=0.11245,PPP1R26_cluster8=-0.163645,ZHX2_cluster8=0.076689,MAPK7_cluster8=0.139119,HOXB6_cluster8=-0.0145604,ZNF689_cluster8=0.0423123,NEK2_cluster8=0.239513,ZNF165_cluster8=0.0312571,DYRK2_cluster8=-0.32935,TLE1_cluster8=-0.0471486,MTF1_cluster8=-0.0754474,PATZ1_cluster8=0.0326514,ZNF615_cluster8=-0.0681241,ZNF14_cluster8=-0.0393941,SPIB_cluster8=0.0458012,MZF1_cluster8=0.0291012,PDE12_cluster8=0.0353651,FLNA_cluster8=-0.0351776,ANKS3_cluster8=-0.0264503
Var=NADK_cluster8	Wt=-1	CondVar=0.133129	CondBias=0.0127735	CondWt=NR6A1_cluster8=0.234742,ZNF358_cluster8=0.234541,FGR_cluster8=0.984647,PER3_cluster8=0.469585,ZNF142_cluster8=-0.242884,PPP1R37_cluster8=0.414394,SRC_cluster8=0.578307,SP4_cluster8=-0.262856,MAP3K5_cluster8=0.231707,BRPF1_cluster8=0.341417,ZFP1_cluster8=0.219128,ZNF383_cluster8=0.288126,ZFYVE1_cluster8=0.714302,ZNF285_cluster8=0.661601,SFMBT1_cluster8=0.596489,TCF20_cluster8=0.635205,ZNF341_cluster8=0.516429
Var=GNB1_cluster8	Wt=-1	CondVar=0.351613	CondBias=0.242367	CondWt=JARID2_cluster8=0.241579,SMAD5_cluster8=0.175341
Var=PRKCZ_cluster8	Wt=-1	CondVar=0.0420072	CondBias=-0.0403755	CondWt=IKZF2_cluster8=-0.413061,PARN_cluster8=0.0815271,ZNF343_cluster8=0.658919,PHKG2_cluster8=0.0971046,PTPN23_cluster8=0.665819,AFF3_cluster8=0.132756,ADCK1_cluster8=0.15881,DYRK2_cluster8=0.887015,ZNF510_cluster8=0.161848,PPP3CA_cluster8=0.125877,ADCK5_cluster8=0.358576,AR_cluster8=0.208668
Var=C1orf86_cluster8	Wt=-1	CondVar=0.350558	CondBias=0.424139	CondWt=STAT5B_cluster8=0.169877
Var=AL590822.1_cluster8	Wt=-1	CondVar=0.00317915	CondBias=-0.0330867	CondWt=ELK4_cluster8=0.0407739,HIVEP2_cluster8=0.202682,ZNF432_cluster8=0.57214,INPP5A_cluster8=1.02675,EYA3_cluster8=-0.0426784,PHF13_cluster8=0.0446466,OCLN_cluster8=0.0518717,COASY_cluster8=0.0309994,TESK2_cluster8=0.0689078,PBX2_cluster8=-0.566391,FOXO1_cluster8=-0.0251896,BAG4_cluster8=0.0406284,FLI1_cluster8=0.016938,CCNB1_cluster8=-0.049028,PPARA_cluster8=0.0230328,NFYC_cluster8=-0.0227164,E2F8_cluster8=-0.0333945,XRCC6_cluster8=0.0215116,PHF2_cluster8=0.0507093,PASK_cluster8=0.0520429,ETV3_cluster8=0.007008,ASB6_cluster8=0.0468493,ZNF227_cluster8=0.0443337
Var=SKI_cluster8	Wt=-1	CondVar=0.362277	CondBias=0.194659	CondWt=MARK4_cluster8=0.350456,ZNF333_cluster8=0.376092,MEF2D_cluster8=-0.0858781,SPIB_cluster8=0.287224
Var=MORN1_cluster8	Wt=-1	CondVar=0.0438534	CondBias=-0.0515541	CondWt=ZNF713_cluster8=-0.756909,PDP2_cluster8=-0.382578,FGR_cluster8=-1.6294,TAF13_cluster8=-0.175323,STK39_cluster8=0.206357,ZNF624_cluster8=0.229672,ZDHHC1_cluster8=0.824215,ICK_cluster8=1.17622,INPP5E_cluster8=0.163638,ANKRD6_cluster8=0.14177,DENND4A_cluster8=0.137707,PHF10_cluster8=0.115687,LZTR1_cluster8=0.208494,PPP1R12C_cluster8=0.175174,ZDHHC2_cluster8=0.21896,ZBTB22_cluster8=0.153121,MKNK1_cluster8=0.24691,ZNF319_cluster8=0.214811
