regulator	cluster	ntarget
FBXO15	E21	0
FBXO15	E11	0
FBXO15	E10	0
FBXO15	E5	0
FBXO15	E14	0
FBXO15	E7	0
FBXO15	E9	18
FBXO15	E30	0
FBXO15	E2	0
FBXO15	E4	0
FBXO15	E3	0
FBXO15	E18	0
FBXO15	E6	0
FBXO15	E19	0
FBXO15	E29	0
FBXO15	E23	0
FBXO15	E20	0
FOXO4	E28	0
FOXO4	E15	0
FOXO4	E13	0
FOXO4	E1	0
FOXO4	E26	0
FOXO4	E25	0
FOXO4	E12	0
FOXO4	E22	0
FOXO4	E24	0
FOXO4	E17	26
FOXO4	E8	0
FOXO4	E16	0
FOXO4	E27	0
FOXO4	E21	0
FOXO4	E11	0
FOXO4	E10	0
FOXO4	E5	0
FOXO4	E14	0
FOXO4	E7	0
FOXO4	E9	0
FOXO4	E30	0
FOXO4	E2	0
FOXO4	E4	0
FOXO4	E3	0
FOXO4	E18	0
FOXO4	E6	0
FOXO4	E19	0
FOXO4	E29	0
FOXO4	E23	0
FOXO4	E20	0
GFI1	E28	0
GFI1	E15	0
GFI1	E13	0
GFI1	E1	0
GFI1	E26	0
GFI1	E25	0
GFI1	E12	0
GFI1	E22	0
GFI1	E24	0
GFI1	E17	0
GFI1	E8	0
GFI1	E16	0
GFI1	E27	0
GFI1	E21	0
GFI1	E11	0
GFI1	E10	0
GFI1	E5	0
GFI1	E14	24
GFI1	E7	0
GFI1	E9	0
GFI1	E30	0
GFI1	E2	0
GFI1	E4	0
GFI1	E3	0
GFI1	E18	0
GFI1	E6	0
GFI1	E19	0
GFI1	E29	0
GFI1	E23	0
GFI1	E20	0
GTF2A1	E28	0
GTF2A1	E15	0
GTF2A1	E13	0
GTF2A1	E1	0
GTF2A1	E26	0
GTF2A1	E25	0
GTF2A1	E12	0
GTF2A1	E22	0
GTF2A1	E24	0
GTF2A1	E17	0
GTF2A1	E8	0
GTF2A1	E16	0
GTF2A1	E27	0
GTF2A1	E21	0
GTF2A1	E11	10
GTF2A1	E10	0
GTF2A1	E5	0
GTF2A1	E14	0
GTF2A1	E7	0
GTF2A1	E9	0
GTF2A1	E30	0
GTF2A1	E2	0
GTF2A1	E4	0
GTF2A1	E3	0
GTF2A1	E18	0
GTF2A1	E6	0
GTF2A1	E19	0
GTF2A1	E29	0
GTF2A1	E23	0
GTF2A1	E20	0
HES1	E28	0
HES1	E15	0
HES1	E13	0
HES1	E1	0
HES1	E26	0
HES1	E25	0
HES1	E12	0
HES1	E22	0
HES1	E24	0
HES1	E17	0
HES1	E8	0
HES1	E16	0
HES1	E27	0
HES1	E21	0
HES1	E11	0
HES1	E10	0
HES1	E5	0
HES1	E14	0
HES1	E7	0
HES1	E9	0
HES1	E30	0
HES1	E2	0
HES1	E4	0
HES1	E3	33
HES1	E18	0
HES1	E6	0
HES1	E19	0
HES1	E29	0
HES1	E23	0
HES1	E20	0
HIST1H2BC	E28	0
HIST1H2BC	E15	0
HIST1H2BC	E13	0
HIST1H2BC	E1	0
HIST1H2BC	E26	0
HIST1H2BC	E25	0
HIST1H2BC	E12	0
HIST1H2BC	E22	0
HIST1H2BC	E24	0
HIST1H2BC	E17	0
HIST1H2BC	E8	0
HIST1H2BC	E16	0
HIST1H2BC	E27	0
HIST1H2BC	E21	0
HIST1H2BC	E11	0
HIST1H2BC	E10	0
HIST1H2BC	E5	0
HIST1H2BC	E14	0
HIST1H2BC	E7	0
HIST1H2BC	E9	20
HIST1H2BC	E30	0
HIST1H2BC	E2	0
HIST1H2BC	E4	0
HIST1H2BC	E3	0
HIST1H2BC	E18	0
HIST1H2BC	E6	0
HIST1H2BC	E19	0
HIST1H2BC	E29	0
HIST1H2BC	E23	0
HIST1H2BC	E20	0
LEPR	E28	0
LEPR	E15	0
LEPR	E13	0
LEPR	E1	14
LEPR	E26	0
LEPR	E25	0
LEPR	E12	0
LEPR	E22	0
LEPR	E24	0
LEPR	E17	0
LEPR	E8	0
LEPR	E16	0
LEPR	E27	0
LEPR	E21	0
LEPR	E11	0
LEPR	E10	0
LEPR	E5	0
LEPR	E14	0
LEPR	E7	0
LEPR	E9	0
LEPR	E30	0
LEPR	E2	0
LEPR	E4	0
LEPR	E3	0
LEPR	E18	0
LEPR	E6	0
LEPR	E19	0
LEPR	E29	0
LEPR	E23	0
LEPR	E20	0
NR1I2	E28	0
NR1I2	E15	0
NR1I2	E13	0
NR1I2	E1	0
NR1I2	E26	0
NR1I2	E25	0
NR1I2	E12	0
NR1I2	E22	0
NR1I2	E24	0
NR1I2	E17	29
NR1I2	E8	0
NR1I2	E16	0
