Var=ATAD3C_cluster9	Wt=-1	CondVar=1.44585e-09	CondBias=-5.62576e-10	CondWt=EPOR_cluster9=3.8489e-06,ZNF467_cluster9=-1.56364,IRF2BP1_cluster9=1.06242e-08,CIITA_cluster9=-0.66848,ZNFX1_cluster9=0.688337,TAF4_cluster9=0.826845,SACM1L_cluster9=1.42544e-08,MAST3_cluster9=0.579281,MARK2_cluster9=0.683778,MTA3_cluster9=-0.492046,CLOCK_cluster9=0.564783,MTMR10_cluster9=1.1444,KHDRBS2_cluster9=-0.512992,ZFPM1_cluster9=-1.10709,TRPM7_cluster9=1.60312,POLR3F_cluster9=1.63602
Var=ATAD3B_cluster9	Wt=-1	CondVar=1.10818e-09	CondBias=2.68334e-08	CondWt=RNF14_cluster9=-0.37455,UBLCP1_cluster9=-0.286308,ZNF397_cluster9=1.04743,HDAC9_cluster9=-0.219522,ERCC6_cluster9=0.125637,NFIB_cluster9=-0.226275,NFIX_cluster9=6.61462e-09,NEK8_cluster9=-0.289009,ZNF394_cluster9=-1.65038e-07,ZNF446_cluster9=0.644682,ZNF45_cluster9=-0.0435706,HIST1H2BC_cluster9=1.32161,NANP_cluster9=-0.0882178,ZNF417_cluster9=0.368317,ING5_cluster9=3.36931e-08,CDKL3_cluster9=-3.01461e-08,ZNF519_cluster9=-0.241264,CBL_cluster9=-0.351259,INPP5J_cluster9=-0.882502,CAMK2G_cluster9=6.54171e-07,PRKX_cluster9=-3.3434e-08,ZNF202_cluster9=0.322303,DNAJC6_cluster9=-0.123496,PRDM16_cluster9=-0.127587,PBX1_cluster9=-0.593964,ZBTB26_cluster9=1.08599,ZFP91_cluster9=1.01836,ZNF500_cluster9=0.085743,PER2_cluster9=0.492467,PYGO2_cluster9=-0.0699436,TCF7_cluster9=-1.34078e-08,ZNF35_cluster9=0.133848,ARSG_cluster9=0.106202,ZNF646_cluster9=-0.779975,MIXL1_cluster9=-0.87014,PTP4A3_cluster9=-0.249438,BRF2_cluster9=0.264413,ZNF416_cluster9=0.0970188,PRKACA_cluster9=-1.45444e-08,ATF1_cluster9=2.45097e-08,KLF12_cluster9=-0.124468,PDK1_cluster9=0.225016,STK38_cluster9=0.110509,CDK14_cluster9=0.289788,TULP3_cluster9=0.22488,SMAD1_cluster9=-0.254621,STK40_cluster9=-1.62589e-07,PAX8_cluster9=-0.200405,BTG2_cluster9=2.14571e-08,ZNF154_cluster9=-0.69254
Var=ATAD3A_cluster9	Wt=-1	CondVar=0.0110914	CondBias=-0.0254037	CondWt=UBLCP1_cluster9=0.221394,MYCBP_cluster9=0.103676,UHMK1_cluster9=-0.0822995,PHF10_cluster9=0.18154,TSC1_cluster9=-0.293144,CRAMP1L_cluster9=0.24891,TCF12_cluster9=-0.0754692,ZNF281_cluster9=0.479346,HMGN4_cluster9=0.903474,COIL_cluster9=-0.166531,MKNK1_cluster9=0.0454364,EP400_cluster9=-0.0876015,NCOA2_cluster9=0.778682,ELK1_cluster9=-0.117195,SUZ12_cluster9=-0.081787,CD247_cluster9=0.101349,YBX1_cluster9=0.00824967,ELK4_cluster9=0.118475,CIRH1A_cluster9=-0.156545,SP2_cluster9=-0.0663602,SP3_cluster9=-0.428225,SLC37A4_cluster9=0.596705,WDR81_cluster9=-0.459832,ZNF502_cluster9=0.475973,WNK1_cluster9=-0.0761361,ZBTB26_cluster9=0.686862,ILF3_cluster9=0.169117,TCF4_cluster9=-0.0725806,TCF3_cluster9=0.00157967,E4F1_cluster9=-0.896645,YEATS2_cluster9=0.348056,NFYA_cluster9=-0.358995,PHF8_cluster9=0.370351,PPP5D1_cluster9=0.135542,NRF1_cluster9=0.0786905,MITF_cluster9=-0.212018,MAP2K6_cluster9=0.509246,GYS1_cluster9=-0.181254,NANP_cluster9=0.488654,PYGO2_cluster9=1.77971,PER2_cluster9=0.214202,ZNF430_cluster9=0.0801968,ZNF628_cluster9=-0.321199,GTF2H2_cluster9=-0.151819,ZNF333_cluster9=0.478027,GABPA_cluster9=0.0482871,SMC2_cluster9=0.103735,EGR1_cluster9=-0.061615,POLR2F_cluster9=-0.0989866,CHD8_cluster9=-0.19238
Var=SSU72_cluster9	Wt=-1	CondVar=0.339074	CondBias=0.66112	CondWt=E2F2_cluster9=-0.253978,KLF7_cluster9=0.237559,KLF1_cluster9=0.345954,ATF3_cluster9=-0.226758,KLF4_cluster9=-0.142846,KLF3_cluster9=0.110028
Var=AL645728.1_cluster9	Wt=-1	CondVar=1.15307e-09	CondBias=3.74308e-11	CondWt=PRKG1_cluster9=0.998175,BTRC_cluster9=-1.0234,CDK18_cluster9=0.571081,ZNF180_cluster9=0.425449,PRDM16_cluster9=0.519096,AKAP11_cluster9=0.462794,MITF_cluster9=0.874611
Var=C1orf233_cluster9	Wt=-1	CondVar=1.23599e-09	CondBias=1.10457e-10	CondWt=ZNF420_cluster9=2.68075e-08,PTP4A3_cluster9=-1.23433,ZNF555_cluster9=1.06507,ZSWIM4_cluster9=1.19955,ZNF74_cluster9=-1.76064e-08,ZSCAN1_cluster9=0.759593,PPP1R9A_cluster9=-0.412131,PRDM16_cluster9=-0.631342,TRPS1_cluster9=0.787704,ZNF155_cluster9=0.305196,CSRNP2_cluster9=-0.560198,DAB2_cluster9=1.05099,MTA3_cluster9=-0.817663,POGK_cluster9=-1.06282,CHD8_cluster9=5.51591e-09,ZNF570_cluster9=0.836096,EIF2AK3_cluster9=-1.21998
Var=RP11-345P4.9_cluster9	Wt=-1	CondVar=6.97516e-10	CondBias=-3.46968e-09	CondWt=ZBTB5_cluster9=0.366101,DPF1_cluster9=-0.838944,GTF2E1_cluster9=0.166408,MTA2_cluster9=0.273676,PPP3CC_cluster9=0.28616,ZFP62_cluster9=-4.70667e-09,POLR2A_cluster9=2.40286e-08,DNASE1_cluster9=-0.940511,SNIP1_cluster9=0.662744,PRDM4_cluster9=-0.427728,ZBTB34_cluster9=-0.38721,PPP1R3E_cluster9=-0.366249,PPP1R37_cluster9=0.474768,POLR1E_cluster9=2.63641e-09,ZNF513_cluster9=0.228806,ZBTB9_cluster9=0.570365,POLR3F_cluster9=-4.30612e-09,TTF2_cluster9=2.39883e-09,ZNF573_cluster9=0.0868459,CDC25C_cluster9=-0.256691,PPP2R5B_cluster9=-0.234524,TCF20_cluster9=0.400476,ZNF443_cluster9=0.207222,CRTC1_cluster9=-0.133866,PHLPP2_cluster9=-0.807087,PPP1R21_cluster9=-0.520065,MKL1_cluster9=1.06872e-08,PTPDC1_cluster9=-0.138469,HOXA4_cluster9=-0.177908,IKZF2_cluster9=-0.116366,DUSP18_cluster9=0.234472,ZNF467_cluster9=-0.34733,ZNF671_cluster9=-0.197431,PDP2_cluster9=-0.0160111,TRPM7_cluster9=0.251802,POLR1B_cluster9=0.476457,SGK1_cluster9=-0.17189,EPOR_cluster9=-0.209898,TSKS_cluster9=0.549151,ZNF382_cluster9=0.298255,PAN3_cluster9=0.50321,TRIB3_cluster9=1.77741e-09
Var=MIB2_cluster9	Wt=-1	CondVar=1.18892e-09	CondBias=2.25862e-09	CondWt=PPP1R15B_cluster9=5.72791e-10,WDR81_cluster9=0.369586,E4F1_cluster9=-1.08012,ZFPM1_cluster9=-0.513325,ICAM1_cluster9=0.851299,SIGLEC10_cluster9=-0.590113,PTPRN2_cluster9=-0.385682,DAB2_cluster9=0.883411,DYRK3_cluster9=-0.406305,PYGO2_cluster9=-0.719838,ZNF19_cluster9=0.328485,KLF7_cluster9=0.803114,ZBTB1_cluster9=3.05389e-09,ZNF154_cluster9=-0.814755,PDP2_cluster9=0.134805,ZNF184_cluster9=-0.577107,ZNF41_cluster9=0.459329,RYK_cluster9=2.73613e-09,DAPK1_cluster9=0.711481,PCP2_cluster9=-0.358209,MTA2_cluster9=0.44097,PPP1R9A_cluster9=0.836329,ZNF155_cluster9=-0.619329,TULP4_cluster9=0.400148,EPOR_cluster9=-0.52343,PER2_cluster9=0.724217,CDK20_cluster9=0.51916,CASC5_cluster9=0.52115,HIVEP2_cluster9=-0.248611,CBX8_cluster9=0.391293,ZNF354B_cluster9=0.709371,ZNF649_cluster9=0.430326,ZNF554_cluster9=0.585232
Var=MMP23B_cluster9	Wt=-1	CondVar=2.22828e-10	CondBias=3.45311e-11	CondWt=PPP2R3A_cluster9=1.10828
Var=CDK11B_cluster9	Wt=-1	CondVar=4.96511e-10	CondBias=8.81425e-11	CondWt=PHLPP2_cluster9=-0.537545,ZNF417_cluster9=0.615643,MINPP1_cluster9=4.28189e-09,PHF13_cluster9=0.621523,ZNF334_cluster9=0.746261,E2F5_cluster9=0.870615,ENPP5_cluster9=0.571637,ZNF10_cluster9=0.682068,DLG3_cluster9=0.55568,SNIP1_cluster9=0.703708
