Var=ATAD3A_cluster7	Wt=-1	CondVar=0.319334	CondBias=-0.577975	CondWt=ETV3_cluster7=-0.184025,LRRC59_cluster7=0.107,TCF3_cluster7=-0.0186754,SRC_cluster7=0.204687,TCF4_cluster7=0.0817289,PLK2_cluster7=0.397296,MCM4_cluster7=0.114748,NFYA_cluster7=0.0537117,CD247_cluster7=0.209269,ZNF341_cluster7=0.301998,TCF12_cluster7=-0.0939381,PPP1R12B_cluster7=0.22085,ENO1_cluster7=0.187022,EWSR1_cluster7=0.0991986,CIRH1A_cluster7=0.104021,YBX1_cluster7=0.28172
Var=SSU72_cluster7	Wt=-1	CondVar=0.337859	CondBias=0.358994	CondWt=JUNB_cluster7=-0.0413273,CREM_cluster7=0.098436,KLF3_cluster7=-0.0637109,HIF1A_cluster7=0.0971622,FUS_cluster7=0.121673,PPP3CA_cluster7=0.149947,SOX4_cluster7=0.141055,KLF1_cluster7=0.0643605,RING1_cluster7=0.100385,MCM7_cluster7=0.096055
Var=AL645728.1_cluster7	Wt=-1	CondVar=0.11186	CondBias=0.0564286	CondWt=RUNX2_cluster7=0.183498,DUSP22_cluster7=0.100082,PLK2_cluster7=0.167423,LIMK2_cluster7=0.0791343,HIPK3_cluster7=0.12135,SMARCD3_cluster7=0.375034,KHDRBS2_cluster7=0.144825,TOX_cluster7=0.103435,RARA_cluster7=0.117295,NAP1L1_cluster7=-0.510377,SOCS3_cluster7=0.21119,L3MBTL4_cluster7=0.184782,FOSL1_cluster7=0.209684,TRIM32_cluster7=0.14172,BRPF3_cluster7=0.141913
Var=C1orf233_cluster7	Wt=-1	CondVar=0.143976	CondBias=-0.0154922	CondWt=PHPT1_cluster7=0.0703613,PCGF6_cluster7=0.0747415,HCK_cluster7=1.23272,DLG3_cluster7=0.261193,ASCL2_cluster7=0.135006
Var=RP11-345P4.9_cluster7	Wt=-1	CondVar=0.132391	CondBias=0.0410406	CondWt=AMHR2_cluster7=0.0848196,E2F6_cluster7=0.085933,SYNJ1_cluster7=0.120388,ZBTB34_cluster7=0.098769,ZNF416_cluster7=0.132454,HMGN4_cluster7=0.115111,ZNF615_cluster7=0.127895,HLX_cluster7=0.711568
Var=MIB2_cluster7	Wt=-1	CondVar=0.170377	CondBias=0.0830319	CondWt=ZNF501_cluster7=0.163845,ZBTB2_cluster7=0.14416,INPP5E_cluster7=0.12822,PEAK1_cluster7=0.133681,MYC_cluster7=0.0204628
Var=MMP23B_cluster7	Wt=-1	CondVar=0.0428354	CondBias=-0.0613926	CondWt=ROR2_cluster7=0.0807363,E2F6_cluster7=0.0562608,SIRPA_cluster7=0.0897726,ZNF595_cluster7=0.0414988,THY1_cluster7=0.307959,ZBTB2_cluster7=0.0923725,SPRED1_cluster7=0.18457,ZNF440_cluster7=0.104193,PAX8_cluster7=0.103456,PRDM2_cluster7=0.0520891,HIVEP2_cluster7=0.11387,MAP2K6_cluster7=0.066935,FBXO15_cluster7=0.0790696,ZNF624_cluster7=-0.127458,ZNF611_cluster7=0.0604691,FOXJ2_cluster7=0.102136,ZNF35_cluster7=0.0764262,CDC14A_cluster7=0.119873,TLE1_cluster7=0.0623557,ZNF502_cluster7=0.102271
Var=CDK11B_cluster7	Wt=-1	CondVar=0.178341	CondBias=0.00186182	CondWt=SIK2_cluster7=0.110312,ECD_cluster7=0.0938879,DCLK2_cluster7=0.387178,TAF1_cluster7=0.131938,ZBTB7B_cluster7=0.31116,ATF1_cluster7=0.0356898,KLF11_cluster7=0.078983,ARSB_cluster7=0.23079,STYX_cluster7=0.0966212,ETV6_cluster7=0.0679716,ZHX2_cluster7=0.182282,TMEM55A_cluster7=0.0945802,KLF8_cluster7=-0.0820089
Var=SLC35E2B_cluster7	Wt=-1	CondVar=0.277184	CondBias=0.162378	CondWt=POLR1E_cluster7=0.104349,KAT6A_cluster7=0.117456,NKX2-3_cluster7=0.195876,INPP5A_cluster7=0.200701,FOXO4_cluster7=0.151888,ZNF410_cluster7=0.208167,HDAC2_cluster7=-0.105116,HECTD4_cluster7=0.146447,HLX_cluster7=0.79879,ANKRD44_cluster7=0.239072,PER3_cluster7=0.178385
Var=CDK11A_cluster7	Wt=-1	CondVar=0.263681	CondBias=0.129748	CondWt=SUZ12_cluster7=0.0826881,FOXO4_cluster7=0.15869,JUN_cluster7=-0.0660607,ZBTB3_cluster7=0.214592,PYGO2_cluster7=0.150606,PLAG1_cluster7=0.173481,BCL3_cluster7=0.326005,ELK4_cluster7=0.118984,NUSAP1_cluster7=0.0780384,ZNF341_cluster7=0.187611
