Var=AL645728.1_cluster10	Wt=-1	CondVar=8.14671e-10	CondBias=-1.09347e-10	CondWt=FKBP9_cluster10=0.629266,STYX_cluster10=-3.65419e-09,NR6A1_cluster10=0.670296,ZNF18_cluster10=-1.02362,AMHR2_cluster10=0.882271,CDK14_cluster10=8.44203e-09,TYRO3_cluster10=-0.5337,DYRK2_cluster10=0.509409,PLAG1_cluster10=-0.579056,PKN3_cluster10=-0.533238,PARD3_cluster10=0.711242,YEATS2_cluster10=4.57083e-09,ZNF300_cluster10=-0.569519,PPP2R5B_cluster10=0.176583,KLF8_cluster10=-0.578266,ZFP41_cluster10=0.465879,ARSA_cluster10=3.13277e-09,PLK2_cluster10=0.385089,ZFP28_cluster10=-1.27486,NEK6_cluster10=1.30113,PER3_cluster10=0.815861
Var=C1orf233_cluster10	Wt=-1	CondVar=3.84047e-10	CondBias=8.76967e-12	CondWt=HOXA3_cluster10=-5.38613e-09,BTRC_cluster10=-0.744549,PPP2R5D_cluster10=9.61083e-09,ZNF611_cluster10=1.03603,USF1_cluster10=0.888649,ZFPM1_cluster10=0.650439
Var=RP11-345P4.9_cluster10	Wt=-1	CondVar=0.0102602	CondBias=0.013073	CondWt=EEPD1_cluster10=-0.368385,TAF1C_cluster10=0.117413,ZFYVE1_cluster10=0.508396,NR4A1_cluster10=0.224298,ZBTB34_cluster10=0.361427,ZFP28_cluster10=0.431857,SMAD1_cluster10=-0.0777054,NFYA_cluster10=-0.098221,MAPK11_cluster10=-0.198232,MED31_cluster10=-0.0589152,MBD2_cluster10=0.286257,CRTC1_cluster10=0.243076,DYRK2_cluster10=-0.522605,ST6GAL1_cluster10=0.131329,PASK_cluster10=1.04004,ZNF215_cluster10=0.517709,ZNF138_cluster10=-0.0586398
Var=MIB2_cluster10	Wt=-1	CondVar=0.0185118	CondBias=-0.0209354	CondWt=HIST1H1C_cluster10=0.0917407,BRCA2_cluster10=0.0737498,PDPK1_cluster10=0.113023,ZDHHC15_cluster10=-0.384466,EIF2AK1_cluster10=-0.0928599,USF2_cluster10=0.0794375,ZNF337_cluster10=0.152872,HMBOX1_cluster10=-0.121556,SERTAD1_cluster10=0.225627,MYC_cluster10=-0.0306674,ZFP28_cluster10=0.507275,SNIP1_cluster10=0.293823,SPEN_cluster10=0.0768257,ZNF549_cluster10=0.241848,ZNF611_cluster10=0.538544,TESK1_cluster10=0.981232,ZAP70_cluster10=0.338063,ZFP1_cluster10=0.667624,MEF2C_cluster10=0.126133,ASCL2_cluster10=0.0370037,NDN_cluster10=0.173464,JAK1_cluster10=-0.0889194
Var=MMP23B_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=CDK11B_cluster10	Wt=-1	CondVar=8.52466e-10	CondBias=4.71439e-10	CondWt=ZNF565_cluster10=-0.5587,ZNF611_cluster10=-0.724774,HOXB5_cluster10=0.82873,ARNTL_cluster10=0.721275,FKBP10_cluster10=0.604364,ULK2_cluster10=0.74292,INPP5A_cluster10=-0.567062,ZNF341_cluster10=-0.509024,ZNF77_cluster10=0.657842,ZNF215_cluster10=0.522773,PPP2R5B_cluster10=-0.306849,PTK2_cluster10=0.752082,PPM1L_cluster10=1.5937e-09,MTMR10_cluster10=0.665191,SP4_cluster10=0.710786,SSH3_cluster10=0.821873,ANGEL1_cluster10=0.486414,DCLK2_cluster10=2.87856e-06,EZH1_cluster10=0.867224
Var=SLC35E2B_cluster10	Wt=-1	CondVar=0.0187228	CondBias=-0.0320838	CondWt=ZNF222_cluster10=0.464144,ZDHHC15_cluster10=-0.348554,ELF4_cluster10=-0.621365,ZNF263_cluster10=0.424925,PARN_cluster10=0.0759129,MAPK11_cluster10=0.880479,ANGEL1_cluster10=0.677232,ZNF544_cluster10=-0.230176,ZAP70_cluster10=0.572572,PPP2R5B_cluster10=-0.420057,HIVEP1_cluster10=0.578153,BRCA2_cluster10=0.142146,FOSL2_cluster10=-1.10469,PPP2R3B_cluster10=-0.181754,SMAD7_cluster10=-0.292375,ZBTB39_cluster10=1.23461,HIST1H1B_cluster10=0.0173465,PDK3_cluster10=0.519524,NR2C2_cluster10=0.673782,WDR81_cluster10=0.831927,MAST1_cluster10=0.646162,PATZ1_cluster10=0.0759552
Var=CDK11A_cluster10	Wt=-1	CondVar=4.48707e-05	CondBias=-0.000236886	CondWt=ZNF256_cluster10=0.227858,EZH1_cluster10=0.669594,ZNF565_cluster10=-0.337215,AHR_cluster10=2.5112,SP1_cluster10=-0.000361792,ZNF443_cluster10=0.0308276,ANGEL2_cluster10=0.0616925,MYNN_cluster10=9.90554e-05,RFX1_cluster10=0.679697,GALNS_cluster10=0.570052,ZNF343_cluster10=0.0465146,ULK1_cluster10=0.0270221,GFI1_cluster10=0.684607,SERTAD3_cluster10=-0.000350233,PPP1R3B_cluster10=-0.648284,FOXK2_cluster10=-0.0707594,EPHX2_cluster10=0.301939,E2F6_cluster10=0.000113287,ZBTB40_cluster10=0.192181,CIC_cluster10=0.066304,TGFBR1_cluster10=-0.865795,ZAP70_cluster10=-0.52465,NFKB2_cluster10=-0.135444,SSH1_cluster10=0.571919,CDK14_cluster10=0.0601469,PPP1R12C_cluster10=0.0591497,SMURF2_cluster10=-0.0673815,AEBP2_cluster10=-0.00223847,ARNTL_cluster10=0.346172,ZNF551_cluster10=-0.194331,PAWR_cluster10=0.950431,SHC1_cluster10=-0.10717,SP4_cluster10=0.42909,MLKL_cluster10=0.638193,RBAK_cluster10=0.109578,ZSCAN1_cluster10=0.441913,ZNF496_cluster10=-0.764741,BRPF3_cluster10=0.00727449,GAB1_cluster10=0.146148,ZNF589_cluster10=0.370565,DLG3_cluster10=0.06525,ANKS1A_cluster10=-0.47127,ARSG_cluster10=1.39094,ZNF77_cluster10=0.18867,CDK3_cluster10=-0.160184,ZNF449_cluster10=-0.39306,PHLPP2_cluster10=-0.13932,ZHX2_cluster10=-0.471987,CSRNP2_cluster10=-1.10932
Var=SLC35E2_cluster10	Wt=-1	CondVar=1.67056e-10	CondBias=2.09194e-11	CondWt=FKBP9_cluster10=0.818875
Var=NADK_cluster10	Wt=-1	CondVar=0.0926192	CondBias=-0.00119345	CondWt=ZNF117_cluster10=-0.193751,XRCC3_cluster10=0.332836,CHP1_cluster10=0.378591,ZNF549_cluster10=0.378845,FKBP15_cluster10=0.389576,PBX3_cluster10=0.456615,PCP2_cluster10=-0.705762,SNAPC3_cluster10=0.389257,HOXA4_cluster10=0.628319,CBX8_cluster10=0.771482
